corpus,Titulo,Puntaje
siempre sello gaston acurio marca diferencia ideal almuerzo rapido buenos jugos naturales toda comida peruana: sabroso,Rico almuerzo,40
acompanado esposa jugos buenos ves siempre pido (travieso) bueno mozo amable cambio trajo mejor comida buena,Bonita Cena,40
"despues ir varias veces conocer masomenos bien carta pues sabe esperar buena comida lugar agradable precio medio alto ultimas oportunidades mozos final servicio indican ""puede dejar propina aca"" mas",Regular!,30
atencion esmerada aji gallina vale restaurante lomo saltado bastante buena tb,Ají de gallina incomparable,40
caminando sector llegamos restaurant decoracion informal bien atendido ambiente relajado hecho gusto volvimos dia sgte llamo atencion repetian par clientes mas,Como en casa,40
visitamos locales larcomar san isidro dos recibimos buena atencion deleitamos exquisita carta comida peruana relacion calidad/precio comparado existe chile excelente,Excelente representates de la buena comida peruana.,50
fruta sandwichs fabulosos caro merece pena almorzar tiraditos ceviches pisco sour tb merece pena,Desayuno perfecto,40
gusto comida probe tamal verde anticuchos tomar limonada frozen recomiendo come bien platos bien servidos precio parecio justo tambien tome pisco sour delicioso trepador refiero q alcohol bueno,Un restaurante bueno,40
solia ir frecuentemente trabajo cerca si bien cierto tanta restaunate comer diagmos diario (por precio) bien vale pena darse gusto vez tanta encuentras mas,Recomendable,40
encanta ambiente calidad personas trabajan alli estan dedicados servicio trabajo tendrian mejorar tiempo demora pedido solo casos,rico,40
exquisito pisco sauer estupendo piqueo variado punto buena eficiente atencion ambiente calido elegante preciosa vista mar,"Tanta Larcomar, estupendo",40
excelente lugar cenar laatencion buena recomendaciones: lomo saltado tomar ice tea,Buena experiencia,40
si visitas larcomar excelente alternativa atencion buena rapida cosa importante dispone tiempo exquisitos lomo saltado pisco sour mientras almuerzas puedes disfrutar hermosa vista,Buena alternativa en Larcomar,50
lugares buenos precios sello gaston acuri ambiente agradable platos generosos,Lo mejor para probar lo típico peruano,40
mejores restaurantes vida mejor comida peruana si van pidan lomo salteado tequenos aji gallina!!,Excelente,50
pensamos ser gaston acurio seria version economica buena cocina comida casera mediocre comer paso ir especialmente si larco mar vistas espectaculares!,no es lo que esperaba,30
restaurante/cafe creo mas nombre real comida peruana novia parecio comida regular servicio regular precios altos calidad comida pagas caro satisface mas,no Cubrio mis expectativas,30
jockey plaza esposo norteamericano chef casi semana cocinando comida peruana ica ica queriamos diferente ama thai vietnamita comida amiga buscamos mas,un opinion extra,40
recomendado :) platos solidarios escoger platos carta parte costo va utiliza donaciones atencion normal demoran servir platos comida rica restaurante toda ocasion,Deli,40
acudido numerosas ocasiones local encuentra jockey plaza creo espectacular sabor platos oportunidades pedi asado abuela encontraba frio inaceptable obstante ultima ocasion mas,Normal...,30
"mucha buena comida! buen restaurant acogedor pocos metros hotel sonestas"" plato lomo salteado excelente atencion buena lugar agradable decoracion moderna vez sencillo carta variada mas",buena comida,50
excelente restaurante! pase dias lima verdad comi ahi novio encanto buenos precios excelente comida dejen probar lomo pobre asi torta choclo mas,Lo más rico de Lima!!!,50
mediodia despues recorrer centro historico lindo lugar buena relacion calidad precio rico hit entrada causas variadas excelente,Para volver,50
tanta san isidro abre temprano imaginamos ibamos encontrar buen desayuno embargo pesar comida ser buena parece mas almuerzo desayuno visita horarios debe mas,No es bueno para el desayuno,30
top peru excelente atencion platos buenisimos lindo lugar postres inolvidables relacion precio / calidad excelente,Imperdible,50
buena opcion quiere comer noche prefiere tomarse copa vino piqueos prueben montaditos ; preferidos berenjena salmon piquillo queso manchego jamon iberico tambien mas,Deliciosos montaditos !!!,40
excelente sitio ir pareja familia buena comida mejor ambiente recomendable,Muy buen sitio!,40
acabamos volver peru quisimos probar buena comida peruana aqui puedes encontrar pues carta aceptable variedad preparacion rica raciones generosas tiempo bueno lima apetece sentarse mesas mas,"Buen nivel, buena ubicación, servicio mejorable",40
vacaciones peru oportunidad comer veces puedo decir buen lugar comimos causa limena tequenos croquetas salchipapas arroces piscos excelente precio bastante razonable atencion camareros mas,Estupendo lugar,50
tampoco esperen hiper alta cocina lugar caracter informal quiere decir platos riquisimos opciones carta originales divertidas; repito siempre caracter informal servicio excelente jugos mas,No se dejen llevar por las malas opiniones...,50
excelentes jugos ensaladas ambiente lindo ademas ubicado parque olivar atencion camareros buena recomiendo jugo norteno,Comida natural y peruana,40
imagine encontrar lima restaurante tanta variedad platillos caseros delicioso minestron fettuccini huancaina deliciosos ravioles asado espectacular decir algarrobina deliciosa terminar buen almuerzo suspiro mas,Satisfechos,40
restaurante bien ubicado centro lima comida buena (en especial lomo) decir jugos verdadera delicia precios mas economicos estan bien tipo restaurante,Muy buen restaurante en el centro de Lima,40
satisfaccion cliente obsesion personal restaurant acostumbro ir ademas calidad variedad comidas brindan excelente servicio posibilidad comer paso puesto siempre muchas alternativas mas,Excelente calidad y servicio en un ambiente informal...,50
ceviche tiradito tacu tacu solo muestras delicias puedes probar recomiendo!,Muy rico,50
homenaje mejor comida peruana aquella prepara casa mucha pretension arquitectonica minimalista bien servido bien preparado bien rico servicio relievarlo jovenes atentos explican bien carta rapidos mas,Muy rico,40
sopa zapallo loche salada servicio atento bastante laxa atencion ganas,Mediocre,10
sabor carne vegetales arroz excelente aroma sabor acompanado jugo chirimolla mejor platillo pequeno restaurante cerca iglesia virgen pilar,Excelente Lomo saltado ,50
comi plato pescador excele recomiendo ademas atencion buena buen ambiente,Recomendado,50
gusto! recomiendo comida llego tiempo atencion excelente pedi sandwich pernil tenia buena presentacion sabor,Cena,40
gran local ubicado metros bosque olivar amplio iluminado acogedoramente decorado comida rica ademas tener buen servicio buena opcion san isidro,Muy buena opción en San Isidro!,40
cerca hotel zona agradable caminar lugar delicioso disfrutar famosos ceviches buen pisco peruano gusto,Delicioso lugar,50
rico pisco sour; aji gallina parecia genial gallina tenia mucha papa bajo salsa precio razonable atencion buena!,Podría ser mejor...,30
bajo sello gaston acurio restaurante normal platos tipicamente peruanos ninguna referencia presentacion tecnica hagn suponer chef gaston ver asunto comida convencional peruana sorpresas mas,Comida Peruana,30
despues permanecer minutos restaurante decidi retirarme debido ningun mozo quiso tomar orden pasaban frente literalmente encontraba sentado mesa justo frente computadora toman ordenes ninguno mas,Decepcionado con el servicio.,10
segunda vez vengo local tanta mes si bien carta interesante almorzar atencion ambas oportunidades mala restaurante lleno segunda vez administrador mas,"Buena carta para almorzar, muy mala atención...",30
conocer lugar viaje inigualable nuevos placeres culinarios pasando ambiente super moderno agradable cortesia mozos dejo recordar maravillosos platos probe comenzando chilcano abrir apetito pasando unas mas,INEMAGINABLE,50
ambiente familia informal complicaciones buena cocina peruana servicio calido rapido aun totalmente ocupado,"Sitio descomplicado, buena cocina",40
tanta nunca defrauda entradas pasando ensaladas platos fuertes postres nota afan servir mejor cumplen,Comida criolla de primera,40
buscaba poder cenar bien buena ubicacion buen precio ninguna gran maravilla lima atencion fabulosa,"Bien, lo esperado, ni mas ni menos. ",30
servicio bueno ambiente alegre agradable; tremendo ceviche clasico comenzar visita lima piden retroaliemntacion constante ayudando gente servicio alerta decoracion bastante peculiar ruido pareciendose mas cafe restaurante restaurante,Buena bienvenida peruana,40
buena atencion comida espectacular hsospede cerca aburria ir comer todas noches restaurante recomiendo chilcanos,Excelente,50
tanta buen lugar comer amigos familia romantico parejas quinoa airport rico original ofrece buen cambio despues tantos platos ceviche pisco sour rico tambien mas,Más rico que el nombre.,40
buenos platos escoger muchas veces pido lomo saltado sino ravioles asado vale pena tomarce jugos buenos,Un clasico,50
excelente lugar agradable atendieron almuerzo pesar haber llegado casi tarde personal atento hora casi solo decidi experimentar paella chola pasa feo mas,Paella Chola: normal nomas ,40
restaurantes gaston acurio mas accesibles bueno platos especiales permiten tener experiencia mejores chefs mundo,Buen restaurante a un precio razonable,40
definitivamente restaurantes sr gaston acurio ejemplo mediocridad saben comida vieja guardada podran darse cuenta viajado lugares mundo restaurantes gaston mucha fama pocas nueces mas,"Definitivamente, los restaurantes",10
ayer cenar pedi chaufa quinua pedazos pollo tenia dos tenian cartilago pellejo minimo espera pollo filete pechuga ademas grasoso habia aceite mas,Malo - Tanta del aeropuerto,20
siempre viajo peru acabo cenando tanta menos vez platos sabor peruano completos trato agradable,Muy recomendable !!!!,50
"sente barra frente batman agrado atento dispuesto contestar preguntas conoce oficio preparo partir chilcano q version ""gin gin"" peruano luego comi puras tapas leche tigre aji amarillo mas",Calidad óptima bien atendido ,40
local miraflores vasco nunez balboa excelente desayunos negocios atencion buena carta amplia sabrosa,Excelentes desayunos,40
comida peruana excelente venden tanta espectacular recomendado lomo saltado buenisimo atencion excelente,Excelente comida,50
lugares recomendados ir comer lima verdad vale pena variedad platos exquisitos postres imperdibles precios acorde imperdible,Excelente variedad de platos,50
lugar mas economico casi fast food comida peruana verdad prefiero ir cualquier restaurante lima q excelentes,Muy normalito .... ,30
excelente local si quieren probar distintos matices comida peruana (ceviches causas chifas etc) nota mano acurio platos cocteles ambientacion recomiendo sushicausas pollo risotto ceviche clasico pueden ir familia negocios amigos,Un clásico de Lima,50
comer colegas trabajo atencion buena gentil comida buena sobretodo ceviche delicioso anticuchos entrada deliciosos lomo saltado pelicula esperaria precio jugos mas,"Muy buena comida, atención pero no deja de ser caro para lo que ofrece",40
lugar discreto agradable espectacular comida bastante bien lograda precios accesibles volvere quiera relax bueno buen precio,Bien,40
noche llegue lima junto amigos pedi aji gallina cenar bueno aperitivo pedi pisco sour camu camu buenisimo!! buen restaurante peru mas,la cocina peruana siempre es buena,40
tipico comida peruana bien; restaurante dejo mayor recuerdo ultima visita lima encontre sitios gustaron mas bien precio calidad servicio bien importante celiacos: mas,Bien pero sin más. Bien para celiacos.,30
gaston experiencia unica caso particular puedes disfrutar mejor cocina peruana moderna fraccion costo sello mismisimo gaston acurio,Excelente relacion Precio/Calidad,50
tanta buena opcion comida rapida optima calidad diversidade eleccion carta diversa optimas perlas cocina peruana,Una buena elección,40
ea cumplidor punto diria local mas bajo acurio mezcla cafeteria restaurante,No varia,30
platos riquisimos buen precio anticuchos rocoto relleno causa repetir veces necesarias si vuelvo alojarme sonesta ire cenar tanta nuevo,Genial y siempre lleno ,50
lugar simple ambientacion condice calidad carta plato sugerido ocasion: rocoto relleno toque justo picante relleno salsa bolognesa postre pastel mantequilla mani chocolate maracuya sour catedral casi embriagante mas,Buenísimo ,50
asiduo comensal tanta san isidro cada vez oportuinidad amerita suelo ir alla ultima vez experiencia buena atencion amable dispuesta jugos ofrece atractivo cotidiano probar cada mas,"Rico, como siempre",40
"restaurante buena variedad servicio rapido informal contiguo parque olivar preferido residentes comer fines semana ""afterwork""",Disfrutando de Lima,40
sitio relajado lujo comida excelente encanta chicha morada lugar pollo nikkei,Buena comida y lugar sencillo,40
lugar concurrido horario almuerzo platos peruanos fusion limonada recomendada,Buenos platos,40
excelente gastronomia carta variada excelente lugar compartir amigos reunion negocio conocia marca locales chile aca mismo mejor nivel!!,Good food ,50
atributos mas valorados innovacion constante bajo respeto comida tradicional pierde cantidad calidad,Comida criolla de muy alto nivel,40
comida peru excelente hora postres pasan carrito postres elige desea caro cerca san isidro % recomendable,Excelente comida,40
rico aji gallina casero abundante espera mediodia suele ser larga puede pedir llevar,Ají de Gallina!,30
buena opcion tipico lugar peruano comer comida local ceviche solo entrada algun pescado,Dentro de todo aceptable,30
excelente cocina peruana sello gaston acurio terraza cubierta agradable desayuno aperitivo comer mas agradable interior,Con la firma de Gastón,40
excelente comida atencion comimos cusushis diferentes platos arroz ricos abundantes tampoco falto clasico pisco sour defraudo atencion mozos personal excelente totalmente recomendable,"""De primera""",50
ido reiteradas veces tanta lugar ideal cenar almorzar visita negocios etc lugar casual atencion buena comida superior promedio duda mejor restaurante lomo saltado imperdible,"Buena atención, buena comida.",50
dificil encontrar malo carta si recomendar empanadas lomo saltado notables ademas ojo sugerencias chef notables par dias seguido sugerencia notable eleccion,Muy buena comida a buen precio,50
tanta siempre acierto probar buena cocina peruana ademas bien variado oferta jugos naturaleza recomiendo prueben postre torta cacao notable,Excelente,40
siempre vamos probamos diferente ahora siempre comida rica mejor variedad jugos perderselos! si tenes ir tiempo tardan siempre full suerte tan cordiales mas,Un buen lugar pero para ir con tiempo,30
si paso lima queres comer rico bueno comida tradicional precio medio opcion carta gaston acurio calidad servicios recomiendo probar jugos frutas selva mas,Un clásico para degustar. lo comida y jugos peruanos¡¡,50
tanta icono comida peruana caro buena variedad sandwiches ensaladas platos fuertes recomendable,Muy buena comida fusion en San Isidro,40
siempre voy peru dia voy tanta realmente buena comida menu tradicional amplio,Muy buenos sabores,40
suelo visitar locales regularmente aunque trabajo san isidro cerca almorzar rapido pequeno problema coordinacion conseguir mesa embargo soluciono rapidamente felizmente considerando hora punta terminar acerco mas,Siempre excelente pero hoy gratamente sorprendido!,50
local ubicado avenida julio ambiente agradable ademas atencion rapida comi sancochado bien servido,Sancochado espectacular! ,40
ser sitio especialmente elegante sitio perfecto comer cenar bastante moderno servicio super amable jugos frutas tropicales buenisimos (no sientan mal) destaca estofado tallarines salsa huancaina tequenos aji mas,Buenísima cocina peruana,50
tanta restaurantes gaston estan rango medio (no exclusivo casa moreyra) comida rica porciones buenas caro,Comida peruana con un toque moderno,40
lugar agradable comi realmente buena quiera comer liviano ensalada platos mas elaborados recomiendo jugos fruta buenos,Realmente bueno,50
excelente restaurante dos ocasiones comida tiempo deliciosa servicio bueno,"Deliciosa comida, muy buen servicio.",50
ceviche mejor! vista mar horizonte valen limonada buena piqueos tambien,Una vista increible para un almuerzo liviano,50
buen ambiente buena comida sazon peruana suave sazon gusto limonada hierba luisa ensalada atun natural recomendable,Buen ambiente ,50
oportunidad ir nuevamente tanta jugos buenos comida: excelentes opciones dentro menu atencion impecable lima restaurantes ver sera primero lista opcion mas,Tanta es un standard de calidad en Lima,40
exquisita comida peruana estilo sabor presentacion primera calidad instalaciones tambien acogedora,Para un buen paladar,40
comida bien atencion tambien lugar poca aislacion termica si vas medidodia sol % mesas mata,Comida decente,30
costumbre visita excelente buen dato siempre mesas estan llenas olvidar pedir piqueos barra ir avanzando dato extra servicio comidas kg llevar casa mejor sopa mas,Buena cocina y excelente atención ,40
exquisitos ceviches sopas dejar ir mas bonito larcomar restaurants chef gaston acurio presentacion platos fusion sabores medida exacta vista costa limena realmente recomendables,muy bueno,50
lugar concurre mucha gente opinion termina notando calidad lugar atencion calidad producto final va buscar caso gusto mas,Esta sucursal no sale de lo normal,30
comida excelente realmente recomendable recomiendo causa rellena nunca habia probado plato excelente!,"muy buen restaurant, gran comida y ambiente",50
verdad vale pena visitarlo si encuentras san isidro altamente recomendable cockteleria variada exquisita platillos mucha calidad postres diga felicidades!!!,Altamente recomendable!,50
restaurant convertido experiencia comer comida peruana nivel standard mayores expectativas si verdad quieren probar autentica comida peruana sabor vayan cualquier restaurant sencillo barrio,Comida peruana estandarizada,40
recomiendo cadena comida tanta ampliamente expeditivos platos buenisimos abundantes % peru bien atendido estanpor lados siempre mano,Cotidiano. Muy accesible y riquísimo.,50
buen lugar comer anticuchos recomendados atun rojo termino medio bueno costoso tragos definitiva recomendado,Buen lugar para comer,40
lugar tradicional peru comer platos tipicos lugar cerca hotel plaza bosque,Para comer platos tipicos,40
toda sopresa comer autentica cocina peruana primer nivel recomiendo lomo saltado saltan lagrimas emocion ceviches tiraditos maravilla buenos cocteles jugos excelente servicio apariencia local parece mas mediocre mas,Una gozada!!,50
excelente causa limena anticuchos corazon entrada chilcano primera rissoto pollo mejor probado lima,TANTA una experiencia excelente,50
almorzar buena comida pedimos compartir varios platos resultaron buenisimos! recomendable almuerzos negocios,Excelente,50
excelente lugar platos abundantes precio accesible ambiente limpio agradable buena atenccion ideal cualquier hora dia desayuno almuerzo merienda cena,Los mejores sabores peruanos,50
encanto lugar variedad platos tragos onda mismo buenisima mejor aun gastronomia dejen probar jugas naturales pisco,Excelente lugar para comer comida tipica!,50
si vas lima ir tanta grandes ensaladas excelente pisco sour mejores ceviches comida tipica peruana buen precio agradable servicio comodas instalaciones hacen lugar unico ir diario disfrutar au comida,Cita obligada en lima,40
muchas opciones almuerzo rico postres cafecito buen plan gusta sancochado mejores probado tapas buena opcion vinito granizados tambien buen sitio ambiente ademas valet mas,Muy buen restaurante ,40
buen restaurant buena comida lugar agradable platos cantidad justa buena variedad,Sibarita,40
si visitan tanta piden tamals verdes pierden mejor ademas sancochado genial!!!,Tamalitos verdes,40
normalito caro comes ambiente bien parece popular lima ciudad grandes opciones culinarias queda corto,Normalito,30
platos estan bien cocinados precio razonable ubicacion calidad restaurante servicio rapido bueno misma calidad lima chile precio lima mas bajo,Muy buena calidad de la comida,50
sabor limeno comida bien pesar lleno publico muestra capacidad convocatoria,Muy tipico restaurant bien situado y cerca del Hotel en que estaba hospedado bien para despues de un dia de trabajo,50
lugar espectacular comidas mas rapidas excelente ambiente comidas horas trabajado,DELICIOSO,50
comer grupo noche tanta muchas opciones plato buenisimos vez probe ensalada tanta maravillosa olvidar sour catedral,Bueno,40
excelente restaurant peruano buena comida groumete toque peruano gaston acuria alli comi varias veces vez solo sopa zapallo loche excelente buena realmente anteriormente tambien probado pastel choclo carne recomiendo luego mas,Rico y tipico,40
excelente alternativa ir comer rico excelente atencion jugos buenos mucha variedad,Muy bueno,50
restaurant buenos postres carta reducida amplio buena atencion postres aunque aspecto buenos extraordinarios opinion,Muy buen restaurant y a precios buenos,40
excelente restaurant encontras varios lugares lima siempre mantiene misma calidad comidas tipicas bien servidas rapido atencion buena recomiendo totalmente!,Típica comida peruana,50
acogedor pesar almuerzo trabajo tranquilo hicieron buenas recomendaciones variada carta postres dispuestos carrito podiamos solicitarlos fin delicioso point,Un deleite al paladar,50
restaurantes prestigioso gaston gran variedad platos tapas cenar ligero comer abundante bueno ceviches conviene reservar ir antelacion normalmente encuentras lleno todas horas,comida de Gastón a precio ajustado,40
comida excelente comi tequenos aji gallina lomo saltado divino hacia calor tan lleno gente aire acondicionado daba clima dia! preferiria volver noche,Falto aire acondicionado!,40
variedad platos locales internacionales productos altisima calidad excelente presentacion buenas recomendaciones meseros atencion inigualable,Variedad de platos locales y muy buena atención,50
excelente atencion comida rica pedi aji gallina trajeron plato enorme buena calidad,Excelente atención,50
aunque chile tambien decidimos ir restaurante pasos hotel (sonesta olivar) llevamos sorpresa lindo comida rica ceviche espectacular!! demas comimos tambien precios elevados mas,Lindo y rica comida,50
servicio rapido ceviche bueno (no mejor peru) lugar dudas mejor degustacion postres buen sitio celebrar almuerzo informal,Buen almuerzo!,30
invitado restaurante cenar lugar semi abierto cubierta vidrio ambiente informal atencion rapida esmerada; conocia consulte mesero recomendaciones todas probamos resultaron acertadas mariscos excelente mas,Una opción buena para cenar,40
variedad comida peruana fusionada sabores gaston acurio sabido darle calidad buen sabor platos usan ingredientes peruanos combinados platos tipo fusion italianos (menestron) chino (chancho asado),Restaurante de primer nivel,50
bueno clasico comida peruana postres extraordinarios unico llama atencion quizas ambientacion cercana fast food probablemente intencion tanta empresa gaston mas,Comida espectacular,40
mejor probado lomo saltado super recomendable ingredientes coccion mismos perfectos tambien recomiendo tamal verde banado salsa seco cabrito atencion buena puede demorar tener listos platos,Especialidad: Lomo saltado,50
probado tanta san isidro surco dos fenomenales carta variada precios asequibles calidad excelente ideales almuerzo cena rapida ceder apice calidad puede repetir mas,Una buena opción para comer rápido y con calidad,40
restaurante propiedad famoso chef peruano gaston acurio tomar desayuno tamals criollos empanada pollo jugo mandarina sazon buena presentacion gran cosa precio si bien cierto barato mas,Rico y agradable ambiente,40
lugares magicos querido gaston acurio comer convierte episodio magico dia cualquiera realidad pidan exquisito lugares favoritos comer almorzar tranquilos buen precio mas,Fantásticos sabores Peruanos en un solo lugar,50
restaurantes favoritos aji gallina provado ninguno gusto mas restaurante,mu agradable,50
igual tantas solo mala experiencia excepcion regla termino general comida buena buen servicio,Bueno,40
comida tipica excelente servicio bueno gustaron causas ceviche peruano ademas bebida chicha,Excelente comida,40
estilo creador vista maravillosa motivante deleitarse comida peruana,Muy bueno,40
probe batido frutas mezcladas bastante bueno tipico ceviche peruano realmente supero expectativas puedo dejar comer plato peru finalmente plato fuerte lomo saltado tanta tenia muchas papas fritas haria mas gourmet mas,Buena comida ,40
ubicado medio san isidro restaurant relajado hecho acompanados extranjeros despues partido futbol hicieron problema pasamos rato agradable cena buen nivel,Buen sabor,40
lima trabajo noche probar termine volviendo casi todas veces pude puede comer / soles terminas probando cosas tipicas cocina peruana recomendar: croquetas aji gallina lomo saltado mas,Buena relacion calidad-precio,40
excelente restaurant degustar exquisita comida peruana sitios ciudad atencion buena comida manjar precios buenos perderse tanta,Excelente comida peruana,50
platos sabrosos combinan sabores tradicionales excelente cocina peruana toques modernos hacen casi perfectos,Comida tradicional con un toque moderno,50
dificil decir restaurante bueno lima ciertamente destacan detalles van mas alla comida atencion amabilidad esfuerzo resulte rato agradable ir restaurante mas,Muy bueno,40
almorce arroz pollo pato rico pisco sour decir atencion buena mozos cordiales ambiente grato,Comida espectacular,40
carne incluida lomo encanto carne dura demas delicioso pisco mejores probe mejor atencion seria bueno si arreglan conexiones energia electrica poder conectar mas,Mi recomendación el Pisco,40
excelente cerveza local exquisitos platillos tipicos peru sitio puede probar famoso lomo saltado papa huancaina patatas fritas romero platillos,Excelente comida peruana,40
version sencilla astrid gaston buenos precios comida rica buen ambiente si quiere formal acartonado,Servicio rápido y buena comida a buen precio.,40
buen ejercicio culinario restaurantes gaston acurio comida tipica bien realizada productos calidad precios razonables dejar probar aji gallina lomo saltado,Correctisimo ,40
tipo gringo especialidades peruanas lugar ruidoso relacion precio calidad razonable pedi carne bonito nombre buen chileno carne mechada peruana,mucho ruido pocas nueces,30
reunion negocios pedimos aperitivos llegaron tiempo primero trajeron ensaladas aperitivos ?que calidad servicio ese?,cuidao con el servicios,30
cadena internacional restaurante gran restaurador peruano lomo causa limena dignos probar,Comida típica peruana,50
comida excelente ambiente confortable buen precio amplia variedad platos unico comentario negativo olivar dos oportunidades tenian hamburguesa,Excelente,40
plato lomo salteado excelente atencion buena lugar agradable decoracion moderna vez sencillo carta variada,"Muy buen restaurant, acogedor y a pocos metros del Hotel Sonestas",40
varios tanta ciudad vez centro historico media cuadra plaza armas local agradable atencion bastante lenta comida buena platos sabrosos llegar espectaculares,Tanta - Centro Histórico de Lima,40
restaurant da posibilidad saborear platos tipicos peruanos lugar moderno dinamico disfrute lomo saltado chicha morada gran seleccion postres tipicos ambiente internacional,Un excelente balance entre platos típicos y el dinamismo de un restaurant moderno,50
opciones comida tipica fusion postres buenos ademas jugos buenisimos sentimental maravillosa lucuma buena opcion almorzar,Buena Comida,40
rico restaurante carta igual chile,Rapido y rico,40
lindo resto buena cocina camareros atentos serviciales,tanta,40
